Build Select,,Starting Class,,Head,Body,Arms,Legs,,Talismans,,,,,,,Great Rune,,Crystal Tear 1,Crystal Tear 2,,Weapon Class,,,,,,,,,Upgrade Levels,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,weapons,canCast,Catalyst Select,,Spell 1,Spell 2,Spell 3,Spell 4,Spell 5,Spell 6,Spell 7,Spell 8,Spell 9,Spell 10,Spell 11,Spell 12,,Defaults,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,Multilayered Ring of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,Litany of Proper Death,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order Healing,Order Healing,Order Healing,Order Healing,Order Healing,Order Healing,Order Healing,Order Healing,Order Healing,Order Healing,Order Healing,Order Healing,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order's Blade,Order's Blade,Order's Blade,Order's Blade,Order's Blade,Order's Blade,Order's Blade,Order's Blade,Order's Blade,Order's Blade,Order's Blade,Order's Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immutable Shield,Immutable Shield,Immutable Shield,Immutable Shield,Immutable Shield,Immutable Shield,Immutable Shield,Immutable Shield,Immutable Shield,Immutable Shield,Immutable Shield,Immutable Shield,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,Law of Causality,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,Law of Regression,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,Light of Miquella,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,Knight's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,Lightning Strike,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,Honed Bolt,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,Ancient Dragons' Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,Ancient Dragons' Lightning Strike,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,Lansseax's Glaive,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,Fortissax's Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,Frozen Lightning Spear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,Death Lightning,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrify Armament,Electrify Armament,Electrify Armament,Electrify Armament,Electrify Armament,Electrify Armament,Electrify Armament,Electrify Armament,Electrify Armament,Electrify Armament,Electrify Armament,Electrify Armament,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,Electrocharge,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,Dragonbolt Blessing,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,Vyke's Dragonbolt,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,Dragonbolt of Florissax,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catch Flame,Catch Flame,Catch Flame,Catch Flame,Catch Flame,Catch Flame,Catch Flame,Catch Flame,Catch Flame,Catch Flame,Catch Flame,Catch Flame,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!","O, Flame!",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,Flame Sling,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,Giantsflame Take Thee,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them","Flame, Fall Upon Them",,,,
